Complaint ID,Product,Consumer complaint narrative
13283147,"Money transfer, virtual currency, or money service","On XX/XX/scrub>XXXX XXXX XXXX XXXXXXXX XXXX initiated the Automatic Loan Payment from my banking institution at Bank Of America. My account with BofA on XX/XX/year>XXXX  was - {$17.00} when the auto-pay was sent to BofA in the amount of {$1300.00}. On XX/XX/year>XXXX  ( my official payday ) after receiving my paycheck auto deposited and because BofA rejected the auto-pay request from the day before on XX/XX/year>, my wife logged onto the XXXX XXXX XXXX  APP via her XXXX and initiated a One-Time XXXX XXXX  Payment to satisfy the missed and rejected payment the day before. The XXXX XXXX Payment was initiated on XX/XX/year> with a posted/settled date of XX/XX/year>. On XX/XX/year> I opened my BofA APP to view my checking account and sew that a 2nd payment for {$1300.00} was Automatically debited. I immediately contacted BofA to rectify the situation and have my institution reverse the automatic payment since my wife already paid on the XXXX via the One-time XXXX XXXX  Payment that had settled on XX/XX/year>. I spoke with a customer service agent at BofA and explained the issue and the rep initiated a stop payment and charged me {$30.00} to do so. The Rep stated that the auto-payment would be returned and the settled payment via XXXX XXXX Payment initiated by XXXX XXXX XXXX XXXX XXXX would remain as posted. On XX/XX/scrub>XXXX XXXX XXXXXXXX XXXX received 2 ACH Reversal 's ( debited ) payments each in the amounts of {$1300.00} REQUESTED by BofA ( to reiterate the monies were pulled back by BofA 's actions- not XXXX XXXX ). This now makes me in default with XXXX XXXX and no payment received for the month of XXXX. XX/XX/year>- XXXX XXXX informed me of the issue a couple of weeks into the month. After being notified of this issue I reviewed my account activity history with BofA to be certain that my account activity reported by XXXX XXXX was true or not. When reviewing my statements and online account with BofA not only were transaction dates not matching the account activity that XXXX XXXX reported/provided via an audit but the stop payment requested through BofA does not support the request I made and had paid {$30.00} to do so. I asked BofA to also explain why my ending balance did not reflect what they were reporting on my statement. They couldn't answer that. At this time XXXX XXXX returned two payments to my banking institution BofA. Bank Of America is only showing one payment returned and can't explain why this is the case. Nor have they provided me with an audit of my account after requesting numerous times ( my rights to do so and a requirement based on banking laws that it must be provided - STILL NOTHING HAS BEEN PROVIDED and to spend more than 20 hours ( 4 hours total on one day ) and spoken to numerous customer service agents and supposedly managers at BofA to be hung up on more than 5 different times trying to solve and get to the bottom of this issue. I tried asking BofA why they can't or won't provide me with a forensics accounting audit as it appears my money has been stolen. Given transactions not matching up with what XXXX XXXX 's reported activity, along with BofA completely missing entire dates and transaction amounts. also, BofA can't explain why my ending balance does not reflect the supposed returned amount of that {$1300.00}. How does my ending balance not have a positive increase of {$1300.00} if indeed they properly returned all payments deducted and settled. The attached document is the audit completed by XXXX XXXX XXXX XXXX XXXX XXXX Borrowers : XXXX XXXX and XXXX XXXX ) ALL TRANSACTIONS PROVIDED DO NOT MATCH THE XXXXPAYS deducted/reversed/refunded or otherwise. This is FRAUD and as of this writing STILL NO HELP FROM ANYONE AT BANK OF AMERICA. Bank of Of America has scammed me and I want my money back NOW. I, XXXX XXXX, am the owner of the Bank of America Account."
13999247,Credit card,
13787517,"Money transfer, virtual currency, or money service",
14061963,Credit card,
13788994,Credit card,
13806135,Checking or savings account,
13830578,"Money transfer, virtual currency, or money service",
13882919,Checking or savings account,
13856245,Checking or savings account,
12654310,Checking or savings account,"On XX/XX/year>, I opened a business checking account with Truist Bank. On XX/XX/year>, I deposited a check in the amount of {$3800.00}. Shortly thereafter, I received two separate pieces of mail from Truist Bankone containing my debit card and another stating that my account had been closed due to alleged fraud. 

Since receiving this notice, I have made multiple attempts to resolve this matter, including speaking with representatives from my local Truist Bank branch and providing additional verification as requested. Despite my efforts, Truist Bank continues to withhold my funds and has not provided any clear justification for the account closure. Furthermore, after speaking with a Centralized Fraud Operations Representative, I was informed that my account is still under review and that a decision would be made within 15 days. This delay is entirely unacceptable, as it unnecessarily restricts my ability to operate my business and access my legally deposited funds. 

The lack of transparency and delay in resolving this matter has caused significant hardship and inconvenience. As a business owner, I rely on my financial institution to act in good faith and to provide clear communication regarding account status and fund availability."
13945039,Checking or savings account,
13142772,Credit card,
13860946,Checking or savings account,
13891573,Credit card,
13949652,"Money transfer, virtual currency, or money service",
13802174,Checking or savings account,
13937176,Credit card,
13652080,Checking or savings account,
13747867,Credit card,
13915313,"Payday loan, title loan, personal loan, or advance loan",
13959450,Credit card,
13551350,Credit card,"On XX/XX/year>, I was notified by email that Citi had unilaterally reduced the credit limits on two of my accounts ( ending in XXXX and XXXX ), without prior notice. At the time, no "" Notices and Letters '' were visible in my account, nor was any mailed or posted correspondence available as of that date. 

Only after submitting a formal CFPB complaint ( Case # XXXX ) did Citi upload two notices dated XX/XX/year>, which were not received until XX/XX/XXXX, XXXX the limit reduction had already taken effect. This backdating raises concerns of post-action documentation to cover an already executed change and misleads regulators and the customer into believing timely notice was provided when it was not. 

This sequence constitutes deceptive or misleading communication regarding a major account change that materially impacted my credit utilization and score. The misleading nature of the documents and notification timing violates the spirit of transparency, potentially skirting regulatory obligations under the CARD Act or other fair lending principles."
13915142,"Payday loan, title loan, personal loan, or advance loan",
13957405,Credit card,
13709092,"Payday loan, title loan, personal loan, or advance loan","Product : Personal Loan ( Unsecured ) Issue : Charged-off debt / Identity theft dispute ignored Sub-Issue : No debt validation, charge-off without lawful notice Account Number : XXXX Summary of Complaint : USAA reports a personal loan opened XX/XX/XXXX, now charged off with a balance of {$6200.00}. The account reflects XXXX consecutive months of delinquency and is still marked "" past due '' as of XX/XX/XXXX. However, I never authorized this loan and was never provided a contract, itemized statement, or billing record. 

I have also submitted an identity theft alert and placed a fraud statement with Experian, but the account remains active on my report. I never received any disclosures, nor was I contacted by USAA to verify the account or notify me of a charge-off.

Violations Include : FCRA 605B Failure to block disputed fraudulent tradeline FCRA 1681g Failure to provide all information in file upon request TILA Failure to issue statements or account disclosures FDCPA If assigned or sold, no debt validation was ever provided Discrepancies : No billing records or signed loan documents Charge-off reported without prior notice Failure to validate or investigate fraud despite notice"
13656957,Credit card,
14122298,"Money transfer, virtual currency, or money service",
13589233,"Payday loan, title loan, personal loan, or advance loan",
13658777,"Money transfer, virtual currency, or money service",
13762035,Credit card,
13739392,Credit card,
9126701,Checking or savings account,"I think this happened on the morning of XX/XX/XXXX or XXXX I have a checking account with chime that's been unsecure since I've had it. I'm continually pointing out the things that are going wrong someone from XXXX XXXX stole about {$800.00} out of my account and chime because of their poor security issues it started with a {$1.00} withdrawal and then about a couple minutes later there was an {$1.00} withdrawal and then I think another {$1.00} then you think we're continually every 2 minutes {$1.00} was taken out every 2 minutes and I've told the supervisor at XXXX I talked to that this should not even happen there should be software written that a flag comes up nobody takes out {$1.00} from XXXX XXXX and then 2 minutes later takes another dollar out from cash and this is continually happening with chime they're unable to secure security account unable to fix it even though you point out what the error is I I have a lot of experience with hardware and software I work in the tech areas and I know this is almost impossible to come up to happen when you have a {$1.00} withdrawal another wood {$1.00} withdrawal within 2 minutes this one on for almost you know like an hour and after that there was also a {$5.00} withdrawal I think a {$50.00} withdrawal another {$20.00} withdrawal from XXXX XXXX  and chimes unable to solve this problem and unable to even help me with this problem I've complained about this problem over and over again nobody 's fixing it nobody 's getting my money back to me.. they're taking the time trying to get the money back to me I've asked because my card was deleted after this I asked for a card to be XXXX  to me and they told me that I have to wait for 7 days and now I may be thrown out of my apartment because I can't pay my rent because Chime... 
I am have tried to get them to send me a XXXX  a card to me and they refuse to do it I said that I have to wait 7 to 10 days for a card people need access to their money this is continually happening in time I don't understand why consumer protection board can't do something about these companies like chime and they're continually doing this and nobody seems to stop them or care to stop them I continually have been trying to work with chime to tell him what's going on their software isn't working and they refuse to help me to XXXX  a card to me I mean it's my money they're not keeping it secure and I should be able to get my money.. please can you help me with this problem I'm I've been battling with chime for months and they don't want to fix anything"
14080107,Checking or savings account,
13891656,Checking or savings account,"This account ( joint ownership with XXXX XXXX ) was repeatedly targeted by fraudulent charges. Truist was made aware of these issues on many occasions- in person and over the phone. The account information was stolen and used multiple times to make purchases that were clearly not made by the account owners, evident either by location of the physical card or details of the transaction. This account had a decades long history to review for accuracy of these charges. These fraudulent charges were submitted to Truist 's fraud department and were denied reimbursement. This is despite previous approval for reimbursement for similar activity as well as excessive communication from us as the customer to try to secure the account, which was not effectively secured by the bank and resulted in many fraudulent charges. We also asked for extra security including text message alerts for suspect activity, which was not provided. The Truist claim number is XXXX. We have since closed this account and left Truist as a banking relationship and have not had these issues with our new checking account, further establishing that this was Truist 's fault. A list of the fraudulent charges totaling {$1700.00} can be found below. 
Date Description Amount Ref. Number XX/XX/XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
13939765,Checking or savings account,
13954489,Credit card,
13769295,Checking or savings account,
13743939,Checking or savings account,
13969405,"Money transfer, virtual currency, or money service",
13980903,Credit card,
14008658,Credit card,
13751791,Checking or savings account,"On XX/XX/scrub> 2025, I was the victim of a sophisticated social engineering scam by someone impersonating a Wells Fargo fraud specialist. They created a sense of urgency, claimed my account had been compromised, and gave me step-by-step instructions to protect my fundsinstructions I followed, believing I was acting under official Wells Fargo guidance. This resulted in a {$3600.00} transfer via XXXX XXXX and XXXX. I believed I was stopping fraud, when in fact, I was being manipulated by it.

I immediately reported the fraud to Wells Fargo and filed a claim ( Claim # XXXX ). I cooperated fully, submitted evidence, and requested the case be reopened after it was denied. However, I was told there was no appeals process available, and that the transaction was considered authorized. This is not accurateI was manipulated into approving the transaction under false pretenses and perceived pressure. This is known as authorized fraud under duress, and is a documented form of social engineering.

I have since filed a police report ( Report # : XXXX ), submitted an IC3.gov complaint, and sent a formal dispute to Wells Fargo by certified mail and email. They have refused to reinvestigate or acknowledge any liability. I am asking the CFPB to intervene and ensure the bank reopens this case and evaluates it under the Electronic Fund Transfer Act ( EFTA )."
14038493,Checking or savings account,
13744009,Credit card,
14042794,"Money transfer, virtual currency, or money service",
13963749,"Money transfer, virtual currency, or money service",
13063596,Credit card,"I am reporting identity theft resulting in both a fraudulent account and multiple unauthorized hard inquiries on my credit reports. 

Fraudulent Account : A XXXX XXXX  credit card account was opened without my knowledge or consent and is being reported as charged off with a {$1300.00} balance and a {$1000.00} credit limit. The account was opened around XX/XX/XXXX, and last reported on XX/XX/XXXX. I did not open this account. It is currently appearing as a derogatory account on my XXXX  and TransUnion reports. 

Unauthorized Inquiries : On XX/XX/XXXX, multiple hard inquiries appeared on my credit reports from various lenders, including XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, and others. I did not apply for credit with any of these companies. 

I filed an identity theft report with the FTC and a police report with the XXXX XXXX Police Department ( XXXX # XXXX ). I submitted disputes to both XXXX  and TransUnion with all supporting documentation, but the fraudulent account and unauthorized inquiries remain. 

This identity theft incident is damaging my credit standing and financial well-being. Under the Fair Credit Reporting Act ( FCRA ), including Sections 605B and 611, the credit bureaus are required to block and remove fraudulent and inaccurate information. I am requesting the CFPBs help to ensure full compliance with federal law and the immediate removal of these fraudulent items from my credit reports."
13730823,Credit card,
13765422,"Payday loan, title loan, personal loan, or advance loan",
13706656,Credit card,
12096896,Credit card,
14004144,Credit card,
13030741,Checking or savings account,I noticed that charges were made that I didnt make I called them and they acted like they didnt know what I was talking about I also think that the first account that I opened they never closed and my roommate XXXX XXXX is using it and got a deposit of XXXX + I noticed people were impersonating my doing the things I did wearing my same clothes she XXXX  XXXX XXXX and XXXX she received money in my name and the bank wont tell me they act like Im crazy but I seen it I had a banking statement printed once and it showed what I currently had in there so once I was done I XXXX  out the account number and another number XXXX appeared under the account number when I put the XXXX  on it the used invisible ink and she has be blocked outta my account cards that Ive never had are on my account Ive never been to Arizona but theyre a charge on there for XXXX XXXX out there I live in grand junction they have the hole town in on it even the cops Ive tried to report this issue and they either hang up or just blow me off they stole the account number from me when i fell asleep two nights ago she even switched out our cell phones shes trying to take over my life she follows me everywhere I go sits in a camper across the street from my house and watches me all day long trying to steal this money and pretends to be me I have no clue where the money came from or why its n my name but I cant spend it havent spent it doesnt even show on my bank statement and Im not getting into trouble for the
13668877,Checking or savings account,
13902792,Checking or savings account,"I have Wells Fargo Business Checking account ending in XXXX. It took more than 4 days for them to get the employee 's entry in Direct Pay. Finally when it happened and I need to run the payroll- I am getting the error - it is trying to send me a push notification - even I am already verified and that push notification is not working.

When that push notification is not working it has alternative to send a push notification only and nothing else. Why not simple text message?

Wells Fargo has hired most inefficient, useless and inept people on their business banking side. Since last 3 months - I am constantly asking to take care of this push notification which is very buggy and problematic. 

This business checking account is nothing but a joke- I can not even pay the employees on time. 

On phone call with Wells Fargo at around XXXX XXXX Central time... another pattern-shamelessly Wells fargo keep on transferring the call from one person to another - very fragmented operations ... I don't think Wells Fargo is capable of running Business bank accounts.

I don't want any useless Wells Fargo executive to give me a call to tell me "" hey I am working on this issue etc ... '' Sorry my time is valuable. I am 100 % sure that entire Wells Fargo is filled with sharmeless folks that rather than addressing the issue- they will simply want to put it under the rugs. Every thing is explained here... Use your brain and understand it ... no need to call me and waste my time."
14017056,"Payday loan, title loan, personal loan, or advance loan",
13939303,Credit card,
13901803,"Money transfer, virtual currency, or money service","I have been using the Cex.io exchange for many years. I decided it was time to leave the crypto world and sell my crypto and cash out. I sold my crypto and attempted to withdraw my money in XX/XX/year>. When I attempted to withdraw my money it said declined. I then decided to buy bitcoin and leave the site on the same dates. I attempted 3 btc withdraw of XXXX, XXXX, XXXX. All of these were denied. I then converted the btc into xrp and attempted 2 withdraws of XXXX and XXXX. All were denied to. I then put in a complaint and received an email from the exchange telling me that extra information was needed even though I had been verified for years. This new information they requested was information on a particular transaction of ETH to my XXXX wallet, they wanted proof I was the owner of the XXXX wallet and they were requesting a complete history transaction of my XXXX wallet even though they are Cex.io. they also requested information of why my ip address moves around and I told them I travel. They also wanted a photo of my passport ( again ) and a picture of me and my passport with a white sheet of paper that said I am a cex.io costumer and thw date. I complied. A few days passed and I asked for an update to withdraw my assets. They responded on XX/XX/year> that now they need extra information. Now they are asking about a transaction that happend on my XXXX app, take into account this is not their company or have any affiliation with XXXX. They want proof of where I sent that transaction, and now they want me to provide a transaction history for every wallet that I have been an owner of. That means every exchange I have been associated with. This is clearly out of their scope, I complied with their initial request to verify myself and the transaction that happens within their exchange. Now they want all my info from every exchange I have ever owner. My funds are still frozen and they will not allow me to remove them. I have all the emails of them requesting all this information."
13890679,Credit card,
13831195,Credit card,
13975818,Checking or savings account,
14019544,Credit card,
13934097,Credit card,
13853953,"Money transfer, virtual currency, or money service",
13834079,Checking or savings account,
13855143,Checking or savings account,
13682935,Credit card,
13880049,Checking or savings account,
13968833,Credit card,
13885928,Credit card,
13754227,Checking or savings account,
13807004,"Payday loan, title loan, personal loan, or advance loan",
13975730,Credit card,
13855062,"Payday loan, title loan, personal loan, or advance loan",
14003864,"Payday loan, title loan, personal loan, or advance loan",
13978520,Credit card,
13919231,Credit card,
